Net: v0->v1, v0 arr_time: 0.000000, v1 req_time: 9.000000, slack = 0.000000, weight = 0.000000
Net: v0->v2, v0 arr_time: 0.000000, v2 req_time: 9.000000, slack = 4.000000, weight = 0.000000
Net: v0->v3, v0 arr_time: 0.000000, v3 req_time: 15.000000, slack = 12.000000, weight = 0.000000
Net: v0->v4, v0 arr_time: 0.000000, v4 req_time: 15.000000, slack = 14.000000, weight = 0.000000
Net: v1->v5, v1 arr_time: 9.000000, v5 req_time: 15.000000, slack = 0.000000, weight = 0.000000
Net: v2->v5, v2 arr_time: 5.000000, v5 req_time: 15.000000, slack = 8.000000, weight = 0.000000
Net: v2->v6, v2 arr_time: 5.000000, v6 req_time: 16.000000, slack = 4.000000, weight = 0.000000
Net: v3->v7, v3 arr_time: 3.000000, v7 req_time: 16.000000, slack = 12.000000, weight = 0.000000
Net: v4->v8, v4 arr_time: 1.000000, v8 req_time: 19.000000, slack = 14.000000, weight = 0.000000
Net: v4->v9, v4 arr_time: 1.000000, v9 req_time: 22.000000, slack = 19.000000, weight = 0.000000
Net: v5->v10, v5 arr_time: 15.000000, v10 req_time: 26.000000, slack = 0.000000, weight = 0.000000
Net: v5->v11, v5 arr_time: 15.000000, v11 req_time: 24.000000, slack = 0.000000, weight = 0.000000
Net: v5->v12, v5 arr_time: 15.000000, v12 req_time: 27.000000, slack = 6.000000, weight = 0.000000
Net: v6->v12, v6 arr_time: 12.000000, v12 req_time: 27.000000, slack = 11.000000, weight = 0.000000
Net: v6->v13, v6 arr_time: 12.000000, v13 req_time: 21.000000, slack = 4.000000, weight = 0.000000
Net: v7->v8, v7 arr_time: 4.000000, v8 req_time: 19.000000, slack = 12.000000, weight = 0.000000
Net: v7->v13, v7 arr_time: 4.000000, v13 req_time: 21.000000, slack = 15.000000, weight = 0.000000
Net: v8->v13, v8 arr_time: 7.000000, v13 req_time: 21.000000, slack = 12.000000, weight = 0.000000
Net: v9->v14, v9 arr_time: 3.000000, v14 req_time: 28.000000, slack = 19.000000, weight = 0.545931
Net: v10->v15, v10 arr_time: 26.000000, v15 req_time: 34.000000, slack = 5.000000, weight = 0.000000
Net: v10->v16, v10 arr_time: 26.000000, v16 req_time: 29.000000, slack = 2.000000, weight = 0.000000
Net: v10->v17, v10 arr_time: 26.000000, v17 req_time: 28.000000, slack = 0.000000, weight = 0.000000
Net: v11->v17, v11 arr_time: 24.000000, v17 req_time: 28.000000, slack = 0.000000, weight = 0.000000
Net: v12->v18, v12 arr_time: 21.000000, v18 req_time: 32.000000, slack = 6.000000, weight = 4.471210
Net: v13->v18, v13 arr_time: 17.000000, v18 req_time: 32.000000, slack = 4.000000, weight = 5.836413
Net: v14->v18, v14 arr_time: 9.000000, v18 req_time: 32.000000, slack = 19.000000, weight = 1.181964
Net: v14->v23, v14 arr_time: 9.000000, v23 req_time: 38.000000, slack = 23.000000, weight = 0.545931
Net: v15->v19, v15 arr_time: 29.000000, v19 req_time: 35.000000, slack = 5.000000, weight = 1.586983
Net: v16->v20, v16 arr_time: 27.000000, v20 req_time: 31.000000, slack = 2.000000, weight = 3.346651
Net: v17->v20, v17 arr_time: 28.000000, v20 req_time: 31.000000, slack = 0.000000, weight = 7.055015
Net: v18->v22, v18 arr_time: 28.000000, v22 req_time: 38.000000, slack = 6.000000, weight = 5.593650
Net: v18->v23, v18 arr_time: 28.000000, v23 req_time: 38.000000, slack = 4.000000, weight = 5.895937
Net: v19->v21, v19 arr_time: 35.000000, v21 req_time: 38.000000, slack = 0.000000, weight = 6.924649
Net: v20->v19, v20 arr_time: 31.000000, v19 req_time: 35.000000, slack = 0.000000, weight = 5.337665
Net: v20->v22, v20 arr_time: 31.000000, v22 req_time: 38.000000, slack = 2.000000, weight = 5.064001
